emp_no,first_name,last_name,title,from_date,to_date
10001,Georgi,Facello,Senior Engineer,1986-06-26,9999-01-01
10004,Chirstian,Koblick,Engineer,1986-12-01,1995-12-01
10004,Chirstian,Koblick,Senior Engineer,1995-12-01,9999-01-01
10009,Sumant,Peac,Assistant Engineer,1985-02-18,1990-02-18
10009,Sumant,Peac,Engineer,1990-02-18,1995-02-18
10009,Sumant,Peac,Senior Engineer,1995-02-18,9999-01-01
10018,Kazuhide,Peha,Engineer,1987-04-03,1995-04-03
10018,Kazuhide,Peha,Senior Engineer,1995-04-03,9999-01-01
10035,Alain,Chappelet,Engineer,1988-09-05,1996-09-05
10035,Alain,Chappelet,Senior Engineer,1996-09-05,9999-01-01
10053,Sanjiv,Zschoche,Senior Staff,1994-11-13,9999-01-01
10058,Berhard,McFarlin,Senior Staff,1988-04-25,9999-01-01
10066,Kwee,Schusler,Assistant Engineer,1986-02-26,1992-02-26
10066,Kwee,Schusler,Engineer,1992-02-26,1998-02-25
10066,Kwee,Schusler,Senior Engineer,1998-02-25,9999-01-01
10067,Claudi,Stavenow,Engineer,1987-03-04,1996-03-03
10067,Claudi,Stavenow,Senior Engineer,1996-03-03,9999-01-01
10070,Reuven,Garigliano,Technique Leader,1985-10-14,9999-01-01
10072,Hironoby,Sidou,Engineer,1989-05-21,1995-05-21
10072,Hironoby,Sidou,Senior Engineer,1995-05-21,9999-01-01
10076,Erez,Ritzmann,Senior Engineer,1996-07-15,9999-01-01
10088,Jungsoon,Syrzycki,Senior Staff,1993-09-02,9999-01-01
10088,Jungsoon,Syrzycki,Staff,1988-09-02,1993-09-02
10100,Hironobu,Haraldson,Senior Staff,1994-09-21,9999-01-01
10100,Hironobu,Haraldson,Staff,1987-09-21,1994-09-21
10103,Akemi,Birch,Engineer,1998-01-12,9999-01-01
10108,Lunjin,Giveon,Staff,1999-03-20,2001-10-20
10116,Dayanand,Czap,Senior Engineer,1994-02-27,1998-11-01
10126,Kayoko,Valtorta,Senior Staff,1991-09-08,9999-01-01
10126,Kayoko,Valtorta,Staff,1985-09-08,1991-09-08
10129,Armond,Peir,Technique Leader,1996-01-16,9999-01-01
10130,Nishit,Casperson,Senior Engineer,1988-06-21,9999-01-01
10134,Diederik,Siprelle,Engineer,1987-12-12,1994-12-12
10134,Diederik,Siprelle,Senior Engineer,1994-12-12,9999-01-01
10138,Perry,Shimshoni,Engineer,1992-03-03,2001-03-03
10138,Perry,Shimshoni,Senior Engineer,2001-03-03,9999-01-01
10149,Xiadong,Perry,Staff,1994-01-28,1996-08-27
10150,Zhenbing,Perng,Engineer,1986-11-16,1995-11-16
10150,Zhenbing,Perng,Senior Engineer,1995-11-16,9999-01-01
10152,Jaques,Munro,Engineer,1986-01-27,1987-08-03
10153,Heekeun,Majewski,Assistant Engineer,2000-01-08,9999-01-01
10157,Nigel,Aloisi,Senior Engineer,1997-12-10,9999-01-01
10161,Hairong,Mellouli,Engineer,1991-06-09,1994-01-05
10186,Shigehito,Kropatsch,Staff,1996-12-25,1997-08-16
10198,Pranav,Furedi,Engineer,1985-08-31,1993-08-31
10198,Pranav,Furedi,Senior Engineer,1993-08-31,9999-01-01
10215,Xiaobin,Duclos,Senior Staff,1991-11-23,9999-01-01
10217,Yongmin,Roison,Technique Leader,1986-05-12,1993-08-05
10224,Leon,Trogemann,Engineer,1988-01-09,1996-01-09
10224,Leon,Trogemann,Senior Engineer,1996-01-09,9999-01-01
10229,Ulises,Takanami,Engineer,1996-02-20,2000-06-30
10233,Lein,Vendrig,Senior Staff,2000-04-28,9999-01-01
10233,Lein,Vendrig,Staff,1994-04-29,2000-04-28
10258,Basil,Ishibashi,Assistant Engineer,1985-05-17,1991-05-17
10258,Basil,Ishibashi,Engineer,1991-05-17,1997-05-16
10258,Basil,Ishibashi,Senior Engineer,1997-05-16,9999-01-01
10272,Yishai,Cannane,Staff,1997-10-23,9999-01-01
10282,Hercules,Benzmuller,Assistant Engineer,1996-05-02,2001-05-02
10282,Hercules,Benzmuller,Engineer,2001-05-02,9999-01-01
10283,Kauko,Birjandi,Engineer,1988-05-25,1995-05-26
10283,Kauko,Birjandi,Senior Engineer,1995-05-26,9999-01-01
10286,Saddek,Gopalakrishnan,Staff,1994-12-24,1999-01-24
10302,Faiza,Baer,Senior Staff,1994-07-22,1999-11-09
10302,Faiza,Baer,Staff,1986-07-22,1994-07-22
10305,Hirochika,Piancastelli,Engineer,1988-10-31,1992-06-02
10326,Masali,Czap,Staff,1998-09-02,9999-01-01
10327,Roded,Facello,Engineer,1987-09-18,1993-05-22
10340,Djelloul,Laventhal,Senior Staff,1993-03-30,9999-01-01
10340,Djelloul,Laventhal,Staff,1988-03-30,1993-03-30
10347,Pradeep,Kaminger,Staff,1998-02-20,9999-01-01
10355,Satyanarayana,Cochrane,Staff,1996-01-26,9999-01-01
10356,Vasilis,Standera,Senior Staff,1995-06-26,9999-01-01
10363,Toshiki,Muniz,Assistant Engineer,1985-09-11,1993-02-12
10364,Nakhoon,Dengi,Senior Engineer,1985-11-14,9999-01-01
10372,Anneli,Frijda,Technique Leader,1985-07-30,9999-01-01
10387,Parto,Wrigley,Senior Staff,1999-01-07,9999-01-01
10387,Parto,Wrigley,Staff,1994-01-07,1999-01-07
10395,Takahiro,Deverell,Engineer,1998-08-10,2001-08-13
10396,Sibyl,Rahier,Senior Engineer,1986-01-11,9999-01-01
10402,Volkmar,Ebeling,Technique Leader,1987-01-02,9999-01-01
10404,Prodip,Rosti,Engineer,1988-08-28,1996-08-28
10404,Prodip,Rosti,Senior Engineer,1996-08-28,9999-01-01
10426,Arunas,Luce,Technique Leader,1985-07-06,9999-01-01
10429,Martien,Improta,Senior Engineer,1988-09-23,9999-01-01
10432,Hisao,Tiemann,Senior Staff,1996-08-12,9999-01-01
10432,Hisao,Tiemann,Staff,1990-08-13,1996-08-12
10442,Volkmar,Unno,Senior Staff,1999-02-12,2001-03-13
10442,Volkmar,Unno,Staff,1992-02-12,1999-02-12
10451,Bodh,Ranta,Assistant Engineer,1988-03-12,1993-03-12
10451,Bodh,Ranta,Engineer,1993-03-12,1998-03-12
10451,Bodh,Ranta,Senior Engineer,1998-03-12,9999-01-01
10453,Tsvetan,Matzel,Senior Staff,1993-04-02,9999-01-01
10453,Tsvetan,Matzel,Staff,1985-04-02,1993-04-02
10463,Ung,Zaiane,Staff,1994-02-17,9999-01-01
10466,Jiakeng,Himler,Staff,1997-08-22,2000-08-15
10486,Amstein,Kossowski,Engineer,1987-10-08,1996-10-07
10486,Amstein,Kossowski,Senior Engineer,1996-10-07,9999-01-01
10494,Yakkov,Servieres,Engineer,1991-12-18,2000-12-17
10494,Yakkov,Servieres,Senior Engineer,2000-12-17,9999-01-01
10504,Xiong,Varker,Staff,1999-10-19,9999-01-01
10512,Udi,Gihr,Senior Staff,1998-11-28,9999-01-01
10512,Udi,Gihr,Staff,1989-11-28,1998-11-28
10519,Yonghoan,Alencar,Senior Staff,2000-12-05,2001-10-13
10519,Yonghoan,Alencar,Staff,1992-12-05,2000-12-05
10522,Marke,Cesareni,Senior Staff,1995-12-12,9999-01-01
10522,Marke,Cesareni,Staff,1986-12-12,1995-12-12
10538,Przemyslawa,Falby,Senior Engineer,1987-07-23,1998-12-13
10541,Godehard,Eiter,Staff,1986-02-28,1986-10-01
10548,Ramalingam,Gunderson,Senior Staff,1993-07-04,9999-01-01
10548,Ramalingam,Gunderson,Staff,1986-07-04,1993-07-04
10564,Jianhao,Thisen,Engineer,1995-11-23,2000-11-22
10564,Jianhao,Thisen,Senior Engineer,2000-11-22,9999-01-01
10575,Theirry,Yeung,Senior Engineer,1988-10-04,2000-11-22
10591,Hidde,Hettesheimer,Staff,1987-06-18,1988-09-20
10608,Adhemar,Talmor,Senior Engineer,1986-05-25,1991-06-02
10617,Hidekazu,Angel,Senior Staff,1991-10-30,2001-10-03
10623,Aleksander,Danlos,Engineer,1992-01-15,1999-01-15
10623,Aleksander,Danlos,Senior Engineer,1999-01-15,9999-01-01
10628,Krisda,Krogh,Assistant Engineer,1987-03-14,1994-03-14
10628,Krisda,Krogh,Engineer,1994-03-14,2001-03-14
10628,Krisda,Krogh,Senior Engineer,2001-03-14,9999-01-01
10629,Lalit,Francisci,Staff,1999-10-20,2001-12-07
10631,Inderjeet,Chaudhuri,Engineer,1994-10-18,9999-01-01
10642,Hirochika,Narlikar,Engineer,1998-10-05,9999-01-01
10653,Otmar,Feinberg,Senior Engineer,1987-04-30,9999-01-01
10671,Parviz,Rebaine,Senior Staff,2001-09-13,9999-01-01
10671,Parviz,Rebaine,Staff,1995-09-14,2001-09-13
10672,Bluma,Zeilberger,Senior Engineer,1991-09-29,1996-04-19
10676,Valeri,Danley,Engineer,1999-09-04,9999-01-01
10693,Berhard,Daescu,Senior Staff,1991-01-08,9999-01-01
10693,Berhard,Daescu,Staff,1986-01-08,1991-01-08
10694,Rildo,Straney,Senior Staff,1993-01-25,2001-07-11
10694,Rildo,Straney,Staff,1988-01-26,1993-01-25
10702,Bader,Szemeredi,Senior Engineer,1991-01-14,9999-01-01
10718,Adib,Rullman,Engineer,1988-07-21,1997-07-21
10718,Adib,Rullman,Senior Engineer,1997-07-21,9999-01-01
10726,Zita,Minakawa,Engineer,1992-02-25,2001-02-24
10726,Zita,Minakawa,Senior Engineer,2001-02-24,9999-01-01
10731,Fumitaka,Peak,Senior Staff,1994-02-20,2000-10-09
10731,Fumitaka,Peak,Staff,1987-02-20,1994-02-20
10734,Sachar,Erdi,Engineer,1995-12-19,9999-01-01
10745,Poorav,Ranze,Engineer,1988-01-23,1997-01-22
10745,Poorav,Ranze,Senior Engineer,1997-01-22,9999-01-01
10749,King,Brendel,Engineer,1985-09-26,1990-09-26
10749,King,Brendel,Senior Engineer,1990-09-26,9999-01-01
10751,Jordanka,Ushiama,Engineer,1999-12-14,2000-12-05
10767,Monique,Doering,Staff,1997-07-15,9999-01-01
10768,Ishfaq,Candan,Engineer,1985-07-04,1990-07-04
10768,Ishfaq,Candan,Senior Engineer,1990-07-04,9999-01-01
10777,Mizuhito,Kemmerer,Engineer,1990-03-17,1996-03-16
10777,Mizuhito,Kemmerer,Senior Engineer,1996-03-16,2001-03-27
10778,Selwyn,Merey,Senior Staff,1986-07-04,9999-01-01
10791,Tadahiko,Sgarro,Engineer,1988-07-30,1995-07-31
10791,Tadahiko,Sgarro,Senior Engineer,1995-07-31,9999-01-01
10795,Supot,Naudin,Senior Staff,1999-05-03,9999-01-01
10795,Supot,Naudin,Staff,1993-05-03,1999-05-03
10803,Katsuyuki,Velasco,Engineer,1988-04-20,1997-04-20
10803,Katsuyuki,Velasco,Senior Engineer,1997-04-20,2002-04-02
10808,Chenxi,Leijenhorst,Senior Engineer,1987-03-07,9999-01-01
10835,Tomoyuki,Kermarrec,Engineer,1995-08-22,9999-01-01
10836,Jianhua,Leivant,Senior Staff,1987-08-10,9999-01-01
10844,Dipayan,Koprowski,Engineer,1997-04-25,9999-01-01
10847,Theirry,Danley,Senior Staff,1992-07-24,9999-01-01
10847,Theirry,Danley,Staff,1986-07-25,1992-07-24
10848,Fen,Bratsberg,Engineer,1985-04-20,1992-04-20
10848,Fen,Bratsberg,Senior Engineer,1992-04-20,9999-01-01
10867,Billur,Gyorkos,Engineer,1997-03-23,2002-03-22
10878,Lakshmi,Deville,Staff,1997-04-25,9999-01-01
10879,Muzhong,Chleq,Senior Engineer,1985-08-15,9999-01-01
10883,Shimshon,Champarnaud,Engineer,1996-12-28,9999-01-01
10895,Vishwani,Petersohn,Staff,1986-04-26,1987-04-13
10909,Georgi,Atchley,Engineer,1993-12-26,2000-12-26
10909,Georgi,Atchley,Senior Engineer,2000-12-26,9999-01-01
10912,Oscal,Fasbender,Senior Staff,1991-04-23,1999-09-26
10912,Oscal,Fasbender,Staff,1986-04-23,1991-04-23
10918,Susumu,Reghbati,Staff,1990-01-29,1990-10-10
10921,Mara,Bahi,Engineer,1986-07-27,1995-07-27
10921,Mara,Bahi,Senior Engineer,1995-07-27,9999-01-01
10924,Hironoby,Atchley,Senior Staff,1997-08-14,9999-01-01
10924,Hironoby,Atchley,Staff,1988-08-14,1997-08-14
10927,Gal,Scallan,Senior Staff,1993-09-12,9999-01-01
10927,Gal,Scallan,Staff,1986-09-12,1993-09-12
10936,Mountaz,Schicker,Senior Staff,1996-05-08,9999-01-01
10936,Mountaz,Schicker,Staff,1990-05-09,1996-05-08
10943,Berna,Skafidas,Engineer,1993-05-22,1999-05-22
10943,Berna,Skafidas,Senior Engineer,1999-05-22,9999-01-01
10965,Eckart,Braunschweig,Senior Staff,1986-07-29,9999-01-01
10969,Premal,Noriega,Senior Engineer,1994-05-12,9999-01-01
10974,Muneo,Papsdorf,Senior Engineer,1999-05-17,9999-01-01
10986,Masako,Schiper,Technique Leader,1985-10-11,9999-01-01
10988,Chinya,Deyuan,Senior Engineer,1985-06-19,9999-01-01
10989,Sumali,Candan,Senior Staff,1991-07-20,9999-01-01
10989,Sumali,Candan,Staff,1985-07-20,1991-07-20
10990,Shin,Foote,Technique Leader,1990-08-06,9999-01-01
11009,Alper,Axelband,Senior Staff,1993-09-09,9999-01-01
11009,Alper,Axelband,Staff,1986-09-09,1993-09-09
11012,Taegyun,Speckmann,Staff,1996-07-06,9999-01-01
11019,Leon,Huttel,Engineer,1992-05-24,1997-05-24
11019,Leon,Huttel,Senior Engineer,1997-05-24,9999-01-01
11021,Srinidhi,Henders,Staff,1998-02-02,9999-01-01
11027,Remzi,Cappello,Assistant Engineer,1986-05-07,1991-05-07
11027,Remzi,Cappello,Engineer,1991-05-07,1996-05-06
11027,Remzi,Cappello,Senior Engineer,1996-05-06,9999-01-01
11028,Miyeon,Krider,Engineer,1986-06-18,1991-06-18
11028,Miyeon,Krider,Senior Engineer,1991-06-18,1997-09-04
11031,Ottavia,Walstra,Senior Staff,1993-10-24,9999-01-01
11031,Ottavia,Walstra,Staff,1985-10-24,1993-10-24
11037,Lansing,Maliniak,Engineer,1988-01-28,1995-01-28
11037,Lansing,Maliniak,Senior Engineer,1995-01-28,9999-01-01
11038,Jinya,Beidas,Senior Staff,1992-07-15,9999-01-01
11038,Jinya,Beidas,Staff,1985-07-15,1992-07-15
